Terrain,Scanner,Workflow,GT_ID,Tree_ID,segment_id,Attribute,QC_stage,GT_value,Predicted_value,Error,Absolute_error
Intermediate,Dual sensor,RCT,9,,17.0,DBH,Post-QC,0.28600000000000003,0.2732,-0.012800000000000034,0.012800000000000034
Intermediate,Hovermap,RCT,9,,16.0,DBH,Post-QC,0.28600000000000003,0.2918,0.005799999999999972,0.005799999999999972
Intermediate,Single sensor,3DFin,11,10.0,,TH,Post-QC,22.0,22.17134863267312,0.17134863267311928,0.17134863267311928
Intermediate,Dual sensor,3DFin,11,10.0,,TH,Post-QC,22.0,22.22696579483873,0.2269657948387298,0.2269657948387298
Intermediate,Hovermap,3DFin,11,10.0,,TH,Post-QC,22.0,22.853041194071807,0.8530411940718103,0.8530411940718103
Intermediate,Single sensor,RCT,11,,19.0,TH,Post-QC,22.0,22.7064,0.7063999999999986,0.7063999999999986
Intermediate,Dual sensor,RCT,11,,20.0,TH,Post-QC,22.0,23.1155,1.1155000000000008,1.1155000000000008
Intermediate,Hovermap,RCT,11,,18.0,TH,Post-QC,22.0,23.2197,1.2196999999999996,1.2196999999999996
Intermediate,Single sensor,3DFin,11,10.0,,DBH,Post-QC,0.20600000000000002,0.2504728444126874,0.044472844412687416,0.044472844412687416
Intermediate,Dual sensor,3DFin,11,10.0,,DBH,Post-QC,0.20600000000000002,0.2311161105957516,0.02511611059575161,0.02511611059575161
Intermediate,Hovermap,3DFin,11,10.0,,DBH,Post-QC,0.20600000000000002,0.2399648537186994,0.033964853718699416,0.033964853718699416
Intermediate,Single sensor,RCT,11,,19.0,DBH,Post-QC,0.206,0.1946,-0.01140000000000002,0.01140000000000002
Intermediate,Dual sensor,RCT,11,,20.0,DBH,Post-QC,0.206,0.1912,-0.01480000000000001,0.01480000000000001
Intermediate,Hovermap,RCT,11,,18.0,DBH,Post-QC,0.206,0.18,-0.026000000000000027,0.026000000000000027
Intermediate,Single sensor,3DFin,14,16.0,,DBH,Post-QC,0.233,0.2397513164208898,0.006751316420889775,0.006751316420889775
Intermediate,Dual sensor,3DFin,14,18.0,,DBH,Post-QC,0.233,0.2495650390711753,0.01656503907117529,0.01656503907117529
Intermediate,Hovermap,3DFin,14,16.0,,DBH,Post-QC,0.233,0.2425669749098248,0.009566974909824777,0.009566974909824777
Intermediate,Single sensor,RCT,14,,13.0,DBH,Post-QC,0.233,0.2434,0.010399999999999993,0.010399999999999993
Intermediate,Dual sensor,RCT,14,,16.0,DBH,Post-QC,0.233,0.2354,0.002399999999999985,0.002399999999999985
Intermediate,Hovermap,RCT,14,,15.0,DBH,Post-QC,0.233,0.2274,-0.005600000000000022,0.005600000000000022
Intermediate,Single sensor,3DFin,15,18.0,,DBH,Post-QC,0.257,0.257990437276198,0.0009904372761980196,0.0009904372761980196
Intermediate,Dual sensor,3DFin,15,17.0,,DBH,Post-QC,0.257,0.2786268834470317,0.021626883447031675,0.021626883447031675
Intermediate,Hovermap,3DFin,15,17.0,,DBH,Post-QC,0.257,0.2687779539932508,0.011777953993250769,0.011777953993250769
Intermediate,Single sensor,RCT,15,,11.0,DBH,Post-QC,0.257,0.2522,-0.004800000000000026,0.004800000000000026
Intermediate,Dual sensor,RCT,15,,12.0,DBH,Post-QC,0.257,0.2452,-0.011800000000000005,0.011800000000000005
Intermediate,Hovermap,RCT,15,,11.0,DBH,Post-QC,0.257,0.2374,-0.01960000000000001,0.01960000000000001
Intermediate,Single sensor,3DFin,16,22.0,,DBH,Post-QC,0.18,0.1883917013354862,0.008391701335486196,0.008391701335486196
Intermediate,Dual sensor,3DFin,16,23.0,,DBH,Post-QC,0.18,0.1900544724066481,0.010054472406648113,0.010054472406648113
Intermediate,Hovermap,3DFin,16,22.0,,DBH,Post-QC,0.18,0.1869517587702016,0.006951758770201599,0.006951758770201599
Intermediate,Single sensor,RCT,16,,5.0,DBH,Post-QC,0.18,0.1958,0.01580000000000001,0.01580000000000001
Intermediate,Dual sensor,RCT,16,,6.0,DBH,Post-QC,0.18,0.1898,0.009800000000000005,0.009800000000000005
Intermediate,Hovermap,RCT,16,,5.0,DBH,Post-QC,0.18,0.1824,0.002400000000000013,0.002400000000000013
Intermediate,Single sensor,3DFin,17,19.0,,TH,Post-QC,21.8,20.5397688851558,-1.2602311148441991,1.2602311148441991
Intermediate,Dual sensor,3DFin,17,19.0,,TH,Post-QC,21.8,20.7681793623845,-1.0318206376154997,1.0318206376154997
Intermediate,Hovermap,3DFin,17,19.0,,TH,Post-QC,21.8,21.656420563118765,-0.14357943688123953,0.14357943688123953
Intermediate,Single sensor,RCT,17,,8.0,TH,Post-QC,21.8,21.3998,-0.4002000000000017,0.4002000000000017
Intermediate,Dual sensor,RCT,17,,9.0,TH,Post-QC,21.8,22.7401,0.940100000000001,0.940100000000001
Intermediate,Hovermap,RCT,17,,8.0,TH,Post-QC,21.8,22.9717,1.1716999999999975,1.1716999999999975
Intermediate,Single sensor,3DFin,17,19.0,,DBH,Post-QC,0.33899999999999997,0.3572224051200361,0.01822240512003609,0.01822240512003609
Intermediate,Dual sensor,3DFin,17,19.0,,DBH,Post-QC,0.33899999999999997,0.3643449431262827,0.02534494312628266,0.02534494312628266
Intermediate,Hovermap,3DFin,17,19.0,,DBH,Post-QC,0.33899999999999997,0.3172885204198606,-0.02171147958013941,0.02171147958013941
Intermediate,Single sensor,RCT,17,,8.0,DBH,Post-QC,0.339,0.3022,-0.03679999999999994,0.03679999999999994
Intermediate,Dual sensor,RCT,17,,9.0,DBH,Post-QC,0.339,0.2946,-0.0444,0.0444
Intermediate,Hovermap,RCT,17,,8.0,DBH,Post-QC,0.339,0.2305,-0.10849999999999996,0.10849999999999996
Intermediate,Single sensor,3DFin,19,21.0,,DBH,Post-QC,0.307,0.3484448338301929,0.04144483383019293,0.04144483383019293
Intermediate,Dual sensor,3DFin,19,22.0,,DBH,Post-QC,0.307,0.3644630817901416,0.05746308179014159,0.05746308179014159
Intermediate,Hovermap,3DFin,19,21.0,,DBH,Post-QC,0.307,0.3804135933794933,0.07341359337949332,0.07341359337949332
Intermediate,Single sensor,RCT,19,,3.0,DBH,Post-QC,0.307,0.3,-0.007000000000000006,0.007000000000000006
Intermediate,Dual sensor,RCT,19,,3.0,DBH,Post-QC,0.307,0.3074,0.0004000000000000114,0.0004000000000000114
Intermediate,Hovermap,RCT,19,,3.0,DBH,Post-QC,0.307,0.289,-0.018000000000000016,0.018000000000000016
Intermediate,Single sensor,3DFin,20,23.0,,TH,Post-QC,20.5,20.53910412673345,0.03910412673344865,0.03910412673344865
Intermediate,Dual sensor,3DFin,20,24.0,,TH,Post-QC,20.5,20.38949682703404,-0.11050317296595936,0.11050317296595936
Intermediate,Hovermap,3DFin,20,23.0,,TH,Post-QC,20.5,21.4194860194838,0.9194860194837986,0.9194860194837986
Intermediate,Single sensor,RCT,20,,1.0,TH,Post-QC,20.5,20.7174,0.21740000000000134,0.21740000000000134
Intermediate,Dual sensor,RCT,20,,1.0,TH,Post-QC,20.5,20.9655,0.4654999999999987,0.4654999999999987
Intermediate,Hovermap,RCT,20,,1.0,TH,Post-QC,20.5,21.0326,0.5325999999999986,0.5325999999999986
Intermediate,Single sensor,3DFin,20,23.0,,DBH,Post-QC,0.349,0.3616747799760964,0.01267477997609645,0.01267477997609645
Intermediate,Dual sensor,3DFin,20,24.0,,DBH,Post-QC,0.349,0.3648532317889695,0.015853231788969524,0.015853231788969524
Intermediate,Hovermap,3DFin,20,23.0,,DBH,Post-QC,0.349,0.3349108360670851,-0.014089163932914872,0.014089163932914872
Intermediate,Single sensor,RCT,20,,1.0,DBH,Post-QC,0.349,0.2992,-0.04979999999999996,0.04979999999999996
Intermediate,Dual sensor,RCT,20,,1.0,DBH,Post-QC,0.349,0.2892,-0.059799999999999964,0.059799999999999964
Intermediate,Hovermap,RCT,20,,1.0,DBH,Post-QC,0.349,0.2895,-0.0595,0.0595
