Terrain,Scanner,segment_id,GT_ID,GT_TH,before_TH,after_TH,before_TH_error,after_TH_error,before_TH_abs_error,after_TH_abs_error,TH_delta_abs_error,GT_DBH,before_DBH,after_DBH,before_DBH_error,after_DBH_error,before_DBH_abs_error,after_DBH_abs_error,DBH_delta_abs_error,attribute_value_source,source_clean_file
Intermediate,Dual sensor,6,16,18.0,21.8444,18.7255,3.8444000000000003,0.7255000000000003,3.8444000000000003,0.7255000000000003,-3.1189,0.18,0.1644,0.1898,-0.015600000000000003,0.009800000000000003,0.015600000000000003,0.009800000000000003,-0.0058,cleaned,INT_D_6_GT16_clean.ply
Intermediate,Dual sensor,9,17,21.8,22.7401,22.7401,0.940100000000001,0.940100000000001,0.940100000000001,0.940100000000001,0.0,0.33899999999999997,0.2946,0.2946,-0.044399999999999995,-0.044399999999999995,0.044399999999999995,0.044399999999999995,0.0,original,
Intermediate,Dual sensor,3,19,21.4,22.2418,21.6379,0.8418000000000028,0.23789999999999978,0.8418000000000028,0.23789999999999978,-0.603900000000003,0.307,0.26899999999999996,0.3074,-0.038000000000000034,0.00040000000000001146,0.038000000000000034,0.00040000000000001146,-0.03760000000000002,cleaned,INT_D_3_GT19_clean.ply
Intermediate,Dual sensor,1,20,20.5,20.9655,20.9655,0.4654999999999987,0.4654999999999987,0.4654999999999987,0.4654999999999987,0.0,0.349,0.2892,0.2892,-0.059799999999999964,-0.059799999999999964,0.059799999999999964,0.059799999999999964,0.0,original,
Intermediate,Dual sensor,7,22,21.3,22.6874,22.6874,1.3873999999999995,1.3873999999999995,1.3873999999999995,1.3873999999999995,0.0,0.325,0.3108,0.3108,-0.01419999999999999,-0.01419999999999999,0.01419999999999999,0.01419999999999999,0.0,original,
Intermediate,Dual sensor,4,23,19.7,21.4241,21.4241,1.7241,1.7241,1.7241,1.7241,0.0,0.278,0.264,0.264,-0.014000000000000012,-0.014000000000000012,0.014000000000000012,0.014000000000000012,0.0,original,
Intermediate,Dual sensor,0,25,18.3,21.1375,21.1375,2.8374999999999986,2.8374999999999986,2.8374999999999986,2.8374999999999986,0.0,0.258,0.2352,0.2352,-0.022800000000000015,-0.022800000000000015,0.022800000000000015,0.022800000000000015,0.0,original,
Intermediate,Dual sensor,2,26,17.3,18.8382,18.8382,1.5381999999999998,1.5381999999999998,1.5381999999999998,1.5381999999999998,0.0,0.267,0.2376,0.2376,-0.02940000000000001,-0.02940000000000001,0.02940000000000001,0.02940000000000001,0.0,original,
Intermediate,Dual sensor,15,27,21.2,21.4342,21.4342,0.2342000000000013,0.2342000000000013,0.2342000000000013,0.2342000000000013,0.0,0.325,0.2964,0.2964,-0.028600000000000014,-0.028600000000000014,0.028600000000000014,0.028600000000000014,0.0,original,
Intermediate,Dual sensor,10,28,19.8,20.0083,20.0083,0.2082999999999977,0.2082999999999977,0.2082999999999977,0.2082999999999977,0.0,0.263,0.2258,0.2258,-0.03720000000000001,-0.03720000000000001,0.03720000000000001,0.03720000000000001,0.0,original,
Intermediate,Dual sensor,5,29,17.2,20.6345,20.7189,3.4345,3.518900000000002,3.4345,3.518900000000002,0.08440000000000225,0.212,0.175,0.2098,-0.037000000000000005,-0.0022000000000000075,0.037000000000000005,0.0022000000000000075,-0.0348,cleaned,INT_D_5_GT29_clean.ply
Intermediate,Dual sensor,8,30,19.4,20.9546,20.9546,1.5546000000000006,1.5546000000000006,1.5546000000000006,1.5546000000000006,0.0,0.191,0.1536,0.1536,-0.03740000000000002,-0.03740000000000002,0.03740000000000002,0.03740000000000002,0.0,original,
Intermediate,Dual sensor,13,34,22.8,23.2525,23.2525,0.45250000000000057,0.45250000000000057,0.45250000000000057,0.45250000000000057,0.0,0.365,0.3108,0.3108,-0.05419999999999997,-0.05419999999999997,0.05419999999999997,0.05419999999999997,0.0,original,
Intermediate,Hovermap,13,1,21.2,22.141,22.141,0.940999999999999,0.940999999999999,0.940999999999999,0.940999999999999,0.0,0.34,0.2784,0.2784,-0.061600000000000044,-0.061600000000000044,0.061600000000000044,0.061600000000000044,0.0,original,
Intermediate,Hovermap,20,2,20.0,21.6507,21.6507,1.6507000000000005,1.6507000000000005,1.6507000000000005,1.6507000000000005,0.0,0.24100000000000002,0.1931,0.1931,-0.047900000000000026,-0.047900000000000026,0.047900000000000026,0.047900000000000026,0.0,original,
Intermediate,Hovermap,19,4,21.0,21.8893,21.8893,0.8892999999999986,0.8892999999999986,0.8892999999999986,0.8892999999999986,0.0,0.263,0.2508,0.2508,-0.012199999999999989,-0.012199999999999989,0.012199999999999989,0.012199999999999989,0.0,original,
Intermediate,Hovermap,22,5,21.5,22.7608,22.7608,1.2607999999999997,1.2607999999999997,1.2607999999999997,1.2607999999999997,0.0,0.332,0.3024,0.3024,-0.029600000000000015,-0.029600000000000015,0.029600000000000015,0.029600000000000015,0.0,original,
