Terrain,Scanner,GT_ID,Tree_ID,Attribute,Stage,GT_value,Predicted_value,Error,Absolute_error,ID_confidence,TH_validated
Challenging,Hovermap,2,28,TH,Post-QC,26.4,26.5562746484044,0.15627464840440197,0.15627464840440197,HIGH,True
Challenging,Hovermap,2,28,DBH,Pre-TH-QC,0.31,0.334936552502016,0.024936552502015985,0.024936552502015985,HIGH,
Challenging,Hovermap,2,28,DBH,Post-QC,0.31,0.334936552502016,0.024936552502015985,0.024936552502015985,HIGH,
Challenging,Single sensor,3,19,TH,Pre-TH-QC,27.0,23.63130652899088,-3.36869347100912,3.36869347100912,HIGH,True
Challenging,Single sensor,3,19,TH,Post-QC,27.0,23.63130652899088,-3.36869347100912,3.36869347100912,HIGH,True
Challenging,Single sensor,3,19,DBH,Pre-TH-QC,0.262,0.2724593913911512,0.010459391391151207,0.010459391391151207,HIGH,
Challenging,Single sensor,3,19,DBH,Post-QC,0.262,0.2724593913911512,0.010459391391151207,0.010459391391151207,HIGH,
Challenging,Dual sensor,3,25,TH,Pre-TH-QC,27.0,24.83018609214253,-2.1698139078574705,2.1698139078574705,HIGH,True
Challenging,Dual sensor,3,25,TH,Post-QC,27.0,24.83018609214253,-2.1698139078574705,2.1698139078574705,HIGH,True
Challenging,Dual sensor,3,25,DBH,Pre-TH-QC,0.262,0.275115513349364,0.013115513349364005,0.013115513349364005,HIGH,
Challenging,Dual sensor,3,25,DBH,Post-QC,0.262,0.275115513349364,0.013115513349364005,0.013115513349364005,HIGH,
Challenging,Hovermap,3,23,TH,Pre-TH-QC,27.0,25.5489381985754,-1.4510618014246006,1.4510618014246006,HIGH,True
Challenging,Hovermap,3,23,TH,Post-QC,27.0,25.5489381985754,-1.4510618014246006,1.4510618014246006,HIGH,True
Challenging,Hovermap,3,23,DBH,Pre-TH-QC,0.262,0.27664851366177,0.014648513661770002,0.014648513661770002,HIGH,
Challenging,Hovermap,3,23,DBH,Post-QC,0.262,0.27664851366177,0.014648513661770002,0.014648513661770002,HIGH,
Challenging,Single sensor,5,27,TH,Pre-TH-QC,9.4,23.7071751324825,14.3071751324825,14.3071751324825,HIGH,False
Challenging,Single sensor,5,27,DBH,Pre-TH-QC,0.089,0.1466040287636955,0.0576040287636955,0.0576040287636955,HIGH,
Challenging,Single sensor,5,27,DBH,Post-QC,0.089,0.1466040287636955,0.0576040287636955,0.0576040287636955,HIGH,
Challenging,Dual sensor,5,30,TH,Pre-TH-QC,9.4,23.75781739537799,14.35781739537799,14.35781739537799,HIGH,False
Challenging,Dual sensor,5,30,DBH,Pre-TH-QC,0.089,0.1210063459371726,0.03200634593717261,0.03200634593717261,HIGH,
Challenging,Dual sensor,5,30,DBH,Post-QC,0.089,0.1210063459371726,0.03200634593717261,0.03200634593717261,HIGH,
Challenging,Hovermap,5,30,TH,Pre-TH-QC,9.4,25.4292593832689,16.0292593832689,16.0292593832689,HIGH,False
Challenging,Hovermap,5,30,DBH,Pre-TH-QC,0.089,0.117017164909658,0.028017164909658,0.028017164909658,HIGH,
Challenging,Hovermap,5,30,DBH,Post-QC,0.089,0.117017164909658,0.028017164909658,0.028017164909658,HIGH,
Challenging,Single sensor,6,22,TH,Pre-TH-QC,26.1,26.15067686829148,0.05067686829147888,0.05067686829147888,HIGH,True
Challenging,Single sensor,6,22,TH,Post-QC,26.1,26.15067686829148,0.05067686829147888,0.05067686829147888,HIGH,True
Challenging,Single sensor,6,22,DBH,Pre-TH-QC,0.425,0.4769553705353858,0.05195537053538579,0.05195537053538579,HIGH,
Challenging,Single sensor,6,22,DBH,Post-QC,0.425,0.4769553705353858,0.05195537053538579,0.05195537053538579,HIGH,
Challenging,Dual sensor,6,24,TH,Pre-TH-QC,26.1,25.01148948114595,-1.0885105188540507,1.0885105188540507,HIGH,True
Challenging,Dual sensor,6,24,TH,Post-QC,26.1,25.01148948114595,-1.0885105188540507,1.0885105188540507,HIGH,True
Challenging,Dual sensor,6,24,DBH,Pre-TH-QC,0.425,0.4600141595235485,0.03501415952354853,0.03501415952354853,HIGH,
Challenging,Dual sensor,6,24,DBH,Post-QC,0.425,0.4600141595235485,0.03501415952354853,0.03501415952354853,HIGH,
Challenging,Hovermap,6,25,TH,Pre-TH-QC,26.1,26.5190241966968,0.4190241966967996,0.4190241966967996,HIGH,True
Challenging,Hovermap,6,25,TH,Post-QC,26.1,26.5190241966968,0.4190241966967996,0.4190241966967996,HIGH,True
Challenging,Hovermap,6,25,DBH,Pre-TH-QC,0.425,0.459210992831951,0.034210992831951004,0.034210992831951004,HIGH,
Challenging,Hovermap,6,25,DBH,Post-QC,0.425,0.459210992831951,0.034210992831951004,0.034210992831951004,HIGH,
Challenging,Single sensor,8,16,TH,Pre-TH-QC,28.4,23.32328487418658,-5.076715125813418,5.076715125813418,HIGH,True
Challenging,Single sensor,8,16,TH,Post-QC,28.4,23.32328487418658,-5.076715125813418,5.076715125813418,HIGH,True
Challenging,Single sensor,8,16,DBH,Pre-TH-QC,0.392,0.4475494653235814,0.055549465323581404,0.055549465323581404,HIGH,
Challenging,Single sensor,8,16,DBH,Post-QC,0.392,0.4475494653235814,0.055549465323581404,0.055549465323581404,HIGH,
Challenging,Dual sensor,8,21,TH,Pre-TH-QC,28.4,23.12391861387243,-5.276081386127569,5.276081386127569,HIGH,True
Challenging,Dual sensor,8,21,TH,Post-QC,28.4,23.12391861387243,-5.276081386127569,5.276081386127569,HIGH,True
Challenging,Dual sensor,8,21,DBH,Pre-TH-QC,0.392,0.4975557470073035,0.10555574700730347,0.10555574700730347,HIGH,
Challenging,Dual sensor,8,21,DBH,Post-QC,0.392,0.4975557470073035,0.10555574700730347,0.10555574700730347,HIGH,
Challenging,Hovermap,8,20,TH,Pre-TH-QC,28.4,23.4961243110306,-4.9038756889694,4.9038756889694,HIGH,True
Challenging,Hovermap,8,20,TH,Post-QC,28.4,23.4961243110306,-4.9038756889694,4.9038756889694,HIGH,True
Challenging,Hovermap,8,20,DBH,Pre-TH-QC,0.392,0.430465185005031,0.03846518500503099,0.03846518500503099,HIGH,
Challenging,Hovermap,8,20,DBH,Post-QC,0.392,0.430465185005031,0.03846518500503099,0.03846518500503099,HIGH,
Challenging,Single sensor,9,14,TH,Pre-TH-QC,25.1,22.77134138276383,-2.3286586172361723,2.3286586172361723,HIGH,True
Challenging,Single sensor,9,14,TH,Post-QC,25.1,22.77134138276383,-2.3286586172361723,2.3286586172361723,HIGH,True
Challenging,Single sensor,9,14,DBH,Pre-TH-QC,0.355,0.3720876609712425,0.017087660971242535,0.017087660971242535,HIGH,
Challenging,Single sensor,9,14,DBH,Post-QC,0.355,0.3720876609712425,0.017087660971242535,0.017087660971242535,HIGH,
Challenging,Dual sensor,9,15,TH,Pre-TH-QC,25.1,25.46773260035001,0.3677326003500099,0.3677326003500099,HIGH,True
Challenging,Dual sensor,9,15,TH,Post-QC,25.1,25.46773260035001,0.3677326003500099,0.3677326003500099,HIGH,True
Challenging,Dual sensor,9,15,DBH,Pre-TH-QC,0.355,0.3770568923913736,0.022056892391373595,0.022056892391373595,HIGH,
Challenging,Dual sensor,9,15,DBH,Post-QC,0.355,0.3770568923913736,0.022056892391373595,0.022056892391373595,HIGH,
Challenging,Hovermap,9,16,TH,Pre-TH-QC,25.1,26.0710009801581,0.9710009801580988,0.9710009801580988,HIGH,True
Challenging,Hovermap,9,16,TH,Post-QC,25.1,26.0710009801581,0.9710009801580988,0.9710009801580988,HIGH,True
Challenging,Hovermap,9,16,DBH,Pre-TH-QC,0.355,0.367845371373803,0.012845371373803038,0.012845371373803038,HIGH,
Challenging,Hovermap,9,16,DBH,Post-QC,0.355,0.367845371373803,0.012845371373803038,0.012845371373803038,HIGH,
Challenging,Single sensor,13,2,TH,Pre-TH-QC,21.3,21.88514545061229,0.5851454506122877,0.5851454506122877,HIGH,False
Challenging,Single sensor,13,2,DBH,Pre-TH-QC,0.159,0.1788149542147684,0.019814954214768393,0.019814954214768393,HIGH,
Challenging,Single sensor,13,2,DBH,Post-QC,0.159,0.1788149542147684,0.019814954214768393,0.019814954214768393,HIGH,
Challenging,Dual sensor,13,11,TH,Pre-TH-QC,21.3,23.9946719011836,2.6946719011836002,2.6946719011836002,HIGH,False
Challenging,Dual sensor,13,11,DBH,Pre-TH-QC,0.159,0.1766843425351999,0.017684342535199904,0.017684342535199904,HIGH,
Challenging,Dual sensor,13,11,DBH,Post-QC,0.159,0.1766843425351999,0.017684342535199904,0.017684342535199904,HIGH,
Challenging,Hovermap,13,1,TH,Pre-TH-QC,21.3,10.244043362392,-11.055956637608,11.055956637608,HIGH,False
Challenging,Hovermap,13,1,DBH,Pre-TH-QC,0.159,0.180300179011076,0.021300179011076004,0.021300179011076004,HIGH,
Challenging,Hovermap,13,1,DBH,Post-QC,0.159,0.180300179011076,0.021300179011076004,0.021300179011076004,HIGH,
Challenging,Single sensor,14,4,TH,Pre-TH-QC,24.7,24.78371521580323,0.08371521580323105,0.08371521580323105,HIGH,True
Challenging,Single sensor,14,4,TH,Post-QC,24.7,24.78371521580323,0.08371521580323105,0.08371521580323105,HIGH,True
Challenging,Single sensor,14,4,DBH,Pre-TH-QC,0.41,0.4112047885678457,0.001204788567845727,0.001204788567845727,HIGH,
Challenging,Single sensor,14,4,DBH,Post-QC,0.41,0.4112047885678457,0.001204788567845727,0.001204788567845727,HIGH,
Challenging,Dual sensor,14,3,TH,Pre-TH-QC,24.7,25.7658569348752,1.0658569348751996,1.0658569348751996,HIGH,True
Challenging,Dual sensor,14,3,TH,Post-QC,24.7,25.7658569348752,1.0658569348751996,1.0658569348751996,HIGH,True
Challenging,Dual sensor,14,3,DBH,Pre-TH-QC,0.41,0.402493843292944,-0.007506156707055955,0.007506156707055955,HIGH,
Challenging,Dual sensor,14,3,DBH,Post-QC,0.41,0.402493843292944,-0.007506156707055955,0.007506156707055955,HIGH,
Challenging,Hovermap,14,5,TH,Pre-TH-QC,24.7,26.3267422765458,1.6267422765458015,1.6267422765458015,HIGH,True
Challenging,Hovermap,14,5,TH,Post-QC,24.7,26.3267422765458,1.6267422765458015,1.6267422765458015,HIGH,True
Challenging,Hovermap,14,5,DBH,Pre-TH-QC,0.41,0.410356462792057,0.0003564627920570329,0.0003564627920570329,HIGH,
Challenging,Hovermap,14,5,DBH,Post-QC,0.41,0.410356462792057,0.0003564627920570329,0.0003564627920570329,HIGH,
Challenging,Single sensor,16,15,TH,Pre-TH-QC,27.0,23.49536733152035,-3.504632668479651,3.504632668479651,HIGH,True
Challenging,Single sensor,16,15,TH,Post-QC,27.0,23.49536733152035,-3.504632668479651,3.504632668479651,HIGH,True
Challenging,Single sensor,16,15,DBH,Pre-TH-QC,0.28,0.3107082994905211,0.030708299490521063,0.030708299490521063,HIGH,
Challenging,Single sensor,16,15,DBH,Post-QC,0.28,0.3107082994905211,0.030708299490521063,0.030708299490521063,HIGH,
Challenging,Dual sensor,16,16,TH,Pre-TH-QC,27.0,21.96471807495474,-5.035281925045261,5.035281925045261,HIGH,True
Challenging,Dual sensor,16,16,TH,Post-QC,27.0,21.96471807495474,-5.035281925045261,5.035281925045261,HIGH,True
Challenging,Dual sensor,16,16,DBH,Pre-TH-QC,0.28,0.312491486204031,0.03249148620403097,0.03249148620403097,HIGH,
Challenging,Dual sensor,16,16,DBH,Post-QC,0.28,0.312491486204031,0.03249148620403097,0.03249148620403097,HIGH,
Challenging,Hovermap,16,17,TH,Pre-TH-QC,27.0,23.593856979511,-3.406143020489001,3.406143020489001,HIGH,True
Challenging,Hovermap,16,17,TH,Post-QC,27.0,23.593856979511,-3.406143020489001,3.406143020489001,HIGH,True
Challenging,Hovermap,16,17,DBH,Pre-TH-QC,0.28,0.312224735506382,0.032224735506381996,0.032224735506381996,HIGH,
Challenging,Hovermap,16,17,DBH,Post-QC,0.28,0.312224735506382,0.032224735506381996,0.032224735506381996,HIGH,
Challenging,Single sensor,18,1,TH,Pre-TH-QC,20.6,19.32515429526752,-1.2748457047324813,1.2748457047324813,HIGH,True
Challenging,Single sensor,18,1,TH,Post-QC,20.6,19.32515429526752,-1.2748457047324813,1.2748457047324813,HIGH,True
Challenging,Single sensor,18,1,DBH,Pre-TH-QC,0.221,0.2421485820037796,0.021148582003779587,0.021148582003779587,HIGH,
